"team","season","qb_p","team_avg_qb_spend","spend_above_avg"
Seattle Seahawks,2015,0.06,0.096,-0.036
Minnesota Vikings,2016,0.08,0.116,-0.036
Carolina Panthers,2021,0.064,0.101,-0.037
Miami Dolphins,2019,0.038,0.076,-0.038
Minnesota Vikings,2014,0.077,0.116,-0.039
Arizona Cardinals,2019,0.044,0.083,-0.039
Indianapolis Colts,2015,0.077,0.116,-0.039
Houston Texans,2022,0.019,0.057,-0.039
Carolina Panthers,2013,0.061,0.101,-0.040
Kansas City Chiefs,2021,0.051,0.092,-0.041
Los Angeles Chargers,2022,0.049,0.091,-0.042
Cleveland Browns,2014,0.021,0.063,-0.042
Indianapolis Colts,2014,0.074,0.116,-0.042
Oakland Raiders,2016,0.03,0.072,-0.042
Philadelphia Eagles,2014,0.028,0.071,-0.043
Kansas City Chiefs,2019,0.049,0.092,-0.043
Tennessee Titans,2015,0.035,0.079,-0.044
Washington Redskins,2015,0.063,0.108,-0.045
Indianapolis Colts,2013,0.07,0.116,-0.046
Jacksonville Jaguars,2020,0.011,0.057,-0.046
Philadelphia Eagles,2022,0.024,0.071,-0.047
Minnesota Vikings,2013,0.069,0.116,-0.047
Los Angeles Chargers,2021,0.044,0.091,-0.047
Cincinnati Bengals,2013,0.023,0.071,-0.048
Cleveland Browns,2017,0.013,0.063,-0.050
Denver Broncos,2017,0.023,0.073,-0.050
Denver Broncos,2020,0.02,0.073,-0.053
Indianapolis Colts,2019,0.063,0.116,-0.053
Arizona Cardinals,2018,0.03,0.083,-0.053
New England Patriots,2022,0.031,0.085,-0.054
Kansas City Chiefs,2020,0.037,0.092,-0.055
Washington Redskins,2014,0.053,0.108,-0.055
Kansas City Chiefs,2018,0.036,0.092,-0.056
Philadelphia Eagles,2021,0.014,0.071,-0.057
Denver Broncos,2016,0.015,0.073,-0.058
Oakland Raiders,2015,0.013,0.072,-0.059
Detroit Lions,2021,0.077,0.136,-0.059
New England Patriots,2021,0.025,0.085,-0.060
Washington Redskins,2013,0.048,0.108,-0.060
Tampa Bay Buccaneers,2013,0.01,0.070,-0.060
Chicago Bears,2022,0.033,0.094,-0.061
New York Giants,2022,0.055,0.116,-0.061
Oakland Raiders,2013,0.009,0.072,-0.063
St. Louis Rams,2015,0.036,0.099,-0.063
Baltimore Ravens,2020,0.03,0.096,-0.066
San Francisco 49ers,2014,0.046,0.112,-0.066
New England Patriots,2020,0.018,0.085,-0.067
New York Giants,2021,0.049,0.116,-0.067
Seattle Seahawks,2022,0.026,0.096,-0.070
Baltimore Ravens,2019,0.022,0.096,-0.074
Baltimore Ravens,2021,0.022,0.096,-0.074
New York Giants,2020,0.042,0.116,-0.074
Dallas Cowboys,2019,0.015,0.090,-0.075
Seattle Seahawks,2014,0.017,0.096,-0.079
Dallas Cowboys,2017,0.011,0.090,-0.079
Minnesota Vikings,2015,0.037,0.116,-0.079
Dallas Cowboys,2018,0.01,0.090,-0.080
Seattle Seahawks,2013,0.013,0.096,-0.083
Pittsburgh Steelers,2022,0.049,0.135,-0.086
New Orleans Saints,2022,0.034,0.121,-0.087
San Francisco 49ers,2013,0.023,0.112,-0.089
Atlanta Falcons,2022,0.03,0.122,-0.092
New Orleans Saints,2021,0.023,0.121,-0.098
San Francisco 49ers,2017,0.008,0.112,-0.104
